age,income,tenure_months,signup_date,plan_type,churn
61,79338.68,6,2022-05-11,basic,0
41,55851.4,39,2022-05-12,basic,0
20,40213.87,39,2022-05-13,pro,0
52,44135.7,37,2022-05-14,basic,0
53,57406.13,2,2022-05-15,basic,0
48,48258.44,54,2022-05-16,basic,0
21,,37,2022-05-17,pro,0
36,80967.39,6,2022-05-18,basic,0
64,48341.89,6,2022-05-19,pro,0
53,65302.59,39,2022-05-20,pro,0
38,39619.25,36,2022-05-21,pro,0
35,73045.66,25,2022-05-22,enterprise,0
68,54295.16,50,2022-05-23,basic,0
45,59132.66,16,2022-05-24,enterprise,0
32,34321.2,21,2022-05-25,basic,0
59,,51,2022-05-26,pro,0
19,60347.27,10,2022-05-27,pro,0
54,69527.69,56,2022-05-28,basic,0
28,40578.69,5,2022-05-29,basic,1
40,42784.59,50,2022-05-30,pro,0
61,84558.75,25,2022-05-31,basic,0
58,34099.76,31,2022-06-01,basic,0
29,47960.75,3,2022-06-02,enterprise,0
20,67053.37,20,2022-06-03,pro,0
69,51465.87,4,2022-06-04,enterprise,0
34,58744.31,14,2022-06-05,pro,0
50,44008.26,12,2022-06-06,enterprise,0
18,55550.84,14,2022-06-07,basic,0
56,30402.1,37,2022-06-08,basic,0
37,74871.96,18,2022-06-09,pro,0
64,48227.54,27,2022-06-10,pro,0
60,39797.33,7,2022-06-11,pro,1
69,59995.75,48,2022-06-12,enterprise,0
58,43089.2,35,2022-06-13,pro,0
31,29986.12,22,2022-06-14,basic,0
48,29799.24,21,2022-06-15,pro,0
42,60406.6,43,2022-06-16,basic,0
20,47606.4,59,2022-06-17,enterprise,0
21,47994.48,58,2022-06-18,basic,0
48,66166.16,18,2022-06-19,basic,0
52,33097.61,38,2022-06-20,enterprise,0
61,39039.83,26,2022-06-21,basic,0
31,44226.8,53,2022-06-22,enterprise,0
66,51415.27,22,2022-06-23,enterprise,0
58,49367.43,56,2022-06-24,enterprise,0
26,45696.69,37,2022-06-25,basic,0
37,49075.6,5,2022-06-26,enterprise,0
49,48390.42,48,2022-06-27,pro,0
26,39205.93,35,2022-06-28,basic,0
44,37805.11,12,2022-06-29,basic,0
20,54117.75,35,2022-06-30,pro,0
21,36636.27,34,2022-07-01,pro,0
62,32639.67,47,2022-07-02,pro,0
32,45315.62,20,2022-07-03,pro,0
50,47634.99,49,2022-07-04,enterprise,0
22,83850.85,12,2022-07-05,basic,0
21,39429.5,34,2022-07-06,basic,0
63,64148.91,26,2022-07-07,pro,0
29,61207.83,34,2022-07-08,enterprise,0
40,32165.83,32,2022-07-09,enterprise,0
31,61598.79,46,2022-07-10,pro,0
63,32241.79,7,2022-07-11,pro,1
29,10112.42,26,2022-07-12,pro,0
34,59094.79,25,2022-07-13,pro,0
42,23661.64,46,2022-07-14,enterprise,0
47,56764.02,39,2022-07-15,basic,0
39,39739.84,52,2022-07-16,enterprise,0
64,74893.26,17,2022-07-17,basic,0
43,66027.64,24,2022-07-18,basic,0
34,43199.21,27,2022-07-19,basic,0
37,39682.44,4,2022-07-20,enterprise,1
51,31788.84,27,2022-07-21,pro,0
58,43386.16,47,2022-07-22,pro,0
50,45794.67,59,2022-07-23,enterprise,0
54,44529.6,30,2022-07-24,enterprise,0
24,52350.56,3,2022-07-25,basic,0
39,58677.82,6,2022-07-26,enterprise,0
49,55244.82,58,2022-07-27,basic,0
31,38537.84,8,2022-07-28,enterprise,1
25,28433.13,16,2022-07-29,pro,0
42,70467.98,15,2022-07-30,pro,0
33,39658.26,36,2022-07-31,pro,0
59,40215.6,53,2022-08-01,enterprise,0
36,42182.16,40,2022-08-02,basic,0
58,22353.96,55,2022-08-03,pro,0
33,42830.39,8,2022-08-04,basic,1
29,42805.16,52,2022-08-05,pro,0
56,59305.37,39,2022-08-06,basic,0
65,60476.86,58,2022-08-07,enterprise,0
47,50056.56,52,2022-08-08,enterprise,0
19,63977.73,30,2022-08-09,basic,0
49,55099.47,56,2022-08-10,enterprise,0
62,49764.77,50,2022-08-11,basic,0
42,52413.92,12,2022-08-12,enterprise,0
42,47140.2,4,2022-08-13,enterprise,0
21,44077.26,14,2022-08-14,basic,0
36,45984.0,59,2022-08-15,pro,0
65,33079.83,56,2022-08-16,pro,0
21,54206.63,25,2022-08-17,pro,0
60,35103.15,57,2022-08-18,basic,0
30,62624.47,5,2022-08-19,pro,0
56,46258.12,54,2022-08-20,enterprise,0
53,50742.42,52,2022-08-21,pro,0
40,57407.55,23,2022-08-22,enterprise,0
23,59649.72,58,2022-08-23,pro,0
41,26440.65,30,2022-08-24,pro,0
61,46896.44,39,2022-08-25,basic,0
50,63202.68,12,2022-08-26,enterprise,0
29,24528.41,15,2022-08-27,enterprise,0
58,55809.21,19,2022-08-28,enterprise,0
38,16166.54,26,2022-08-29,pro,0
28,34662.4,45,2022-08-30,pro,0
61,50579.46,4,2022-08-31,basic,0
55,25149.27,38,2022-09-01,basic,0
46,35217.34,8,2022-09-02,basic,1
65,27922.47,30,2022-09-03,pro,0
58,74722.02,15,2022-09-04,basic,0
20,52463.42,12,2022-09-05,enterprise,0
45,58509.35,10,2022-09-06,basic,0
37,46659.87,12,2022-09-07,pro,0
43,44698.52,17,2022-09-08,basic,0
41,25752.89,40,2022-09-09,enterprise,0
69,45622.44,2,2022-09-10,enterprise,0
64,38577.62,19,2022-09-11,enterprise,0
38,62868.86,54,2022-09-12,pro,0
47,67116.53,29,2022-09-13,enterprise,0
21,71998.68,1,2022-09-14,basic,0
53,,22,2022-09-15,basic,0
57,41020.19,25,2022-09-16,enterprise,0
27,33261.55,10,2022-09-17,pro,1
27,61499.95,9,2022-09-18,enterprise,0
59,55344.39,19,2022-09-19,basic,0
41,23471.92,12,2022-09-20,basic,0
21,55332.23,29,2022-09-21,enterprise,0
64,62217.8,54,2022-09-22,pro,0
44,50883.88,52,2022-09-23,basic,0
68,47224.19,18,2022-09-24,pro,0
62,37885.27,56,2022-09-25,enterprise,0
21,28301.98,16,2022-09-26,basic,0
49,62004.47,4,2022-09-27,basic,0
27,45363.28,43,2022-09-28,basic,0
28,46498.0,25,2022-09-29,basic,0
45,75990.82,22,2022-09-30,basic,0
63,60267.52,29,2022-10-01,basic,0
25,55562.38,59,2022-10-02,enterprise,0
57,52130.93,22,2022-10-03,basic,0
39,72799.92,15,2022-10-04,basic,0
51,75793.84,48,2022-10-05,enterprise,0
62,63942.58,2,2022-10-06,basic,0
52,58733.37,13,2022-10-07,basic,0
52,18580.95,12,2022-10-08,enterprise,0
42,51855.83,26,2022-10-09,basic,0
51,48048.4,40,2022-10-10,basic,0
23,51409.3,12,2022-10-11,enterprise,0
58,64145.69,27,2022-10-12,basic,0
54,8904.84,46,2022-10-13,enterprise,0
18,41460.32,35,2022-10-14,basic,0
29,54048.57,2,2022-10-15,basic,0
52,42997.32,17,2022-10-16,enterprise,0
23,28746.41,2,2022-10-17,pro,1
34,63034.45,17,2022-10-18,enterprise,0
26,54153.08,34,2022-10-19,pro,0
19,35433.43,34,2022-10-20,pro,0
35,54722.26,45,2022-10-21,basic,0
66,62323.79,39,2022-10-22,enterprise,0
53,,41,2022-10-23,pro,0
45,62008.47,9,2022-10-24,pro,0
58,51173.9,14,2022-10-25,pro,0
54,44071.57,43,2022-10-26,pro,0
66,32608.69,20,2022-10-27,enterprise,0
